"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Operational Delivery","Ofsted","Ofsted","DfE","Non-Whitehall","No",2010,840,"Operational delivery",""
"Operational Delivery","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Department for Education","National College","DfE","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","International Development ","Department for International Development","DfID","Whitehall","Yes",2010,360,"Operational delivery",""
"Operational Delivery","Transport","Department for Transport","DfT","Whitehall","Yes",2010,110,"Operational delivery",""
"Operational Delivery","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2010,1880,"Operational delivery",""
"Operational Delivery","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Transport","Highways Agency","DfT","Non-Whitehall","No",2010,1850,"Operational delivery",""
"Operational Delivery","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2010,850,"Operational delivery",""
"Operational Delivery","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2010,130,"Operational delivery",""
"Operational Delivery","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2010,2130,"Operational delivery",""
"Operational Delivery","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2010,70,"Operational delivery",""
"Operational Delivery","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2010,200,"Operational delivery",""
"Operational Delivery","Health","Food Standards Agency","DH","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2010,690,"Operational delivery",""
"Operational Delivery","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2010,80,"Operational delivery",""
"Operational Delivery","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2010,180,"Operational delivery",""
"Operational Delivery","Health","Public Health England","DH","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2010,8400,"Operational delivery",""
"Operational Delivery","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2010,130,"Operational delivery",""
"Operational Delivery","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2010,80630,"Operational delivery",""
"Operational Delivery","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2010,12760,"Operational delivery",""
"Operational Delivery","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2010,2480,"Operational delivery",""
"Operational Delivery","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2010,0,"Operational delivery",""
"Operational Delivery","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2010,40,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2010,0,"Operational delivery",""
"Operational Delivery","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2010,30,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2010,110,"Operational delivery",""
"Operational Delivery","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2010,43580,"Operational delivery",""
"Operational Delivery","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2010,10,"Operational delivery",""
"Operational Delivery","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2010,40,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2010,2350,"Operational delivery",""
"Operational Delivery","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2010,3540,"Operational delivery",""
"Operational Delivery","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2010,220,"Operational delivery",""
"Operational Delivery","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2010,3820,"Operational delivery",""
"Operational Delivery","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2010,30,"Operational delivery",""
"Operational Delivery","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2010,0,"Operational delivery",""
"Operational Delivery","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2010,2800,"Operational delivery",""
"Operational Delivery","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2010,0,"Operational delivery",""
"Operational Delivery","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2010,710,"Operational delivery",""
"Operational Delivery","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2010,18330,"Operational delivery",""
"Operational Delivery","Justice","Land Registry","MoJ","Non-Whitehall","No",2010,4700,"Operational delivery",""
"Operational Delivery","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2010,560,"Operational delivery",""
"Operational Delivery","Justice","National Archives","MoJ","Non-Whitehall","No",2010,190,"Operational delivery",""
"Operational Delivery","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2010,41970,"Operational delivery",""
"Operational Delivery","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2010,360,"Operational delivery",""
"Operational Delivery","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2010,2890,"Operational delivery",""
"Operational Delivery","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2010,40,"Operational delivery",""
"Operational Delivery","Justice","Wales Office","MoJ","Non-Whitehall","No",2010,0,"Operational delivery",""
"Operational Delivery","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2010,NA,"Operational delivery",""
"Operational Delivery","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2010,30,"Operational delivery",""
"Operational Delivery","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2010,1080,"Operational delivery",""
"Operational Delivery","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2010,30,"Operational delivery",""
"Operational Delivery","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2010,360,"Operational delivery",""
"Operational Delivery","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2010,110,"Operational delivery",""
"Operational Delivery","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2010,20,"Operational delivery",""
"Operational Delivery","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2010,30,"Operational delivery",""
"Operational Delivery","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2010,1080,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2010,1350,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2010,790,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2010,150,"Operational delivery",""
"Operational Delivery","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2010,10,"Operational delivery",""
"Operational Delivery","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2010,20,"Operational delivery",""
"Operational Delivery","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2010,60,"Operational delivery",""
"Operational Delivery","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2010,NA,"Operational delivery",""
"Operational Delivery","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2010,1890,"Operational delivery",""
"Operational Delivery","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2010,264360,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2013,3470,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2013,210,"Operational delivery",""
"Operational Delivery","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2013,50,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2013,670,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2013,670,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2013,560,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2013,120,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2013,1670,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2013,260,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2013,250,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2013,860,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2013,510,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2013,540,"Operational delivery",""
"Operational Delivery","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2013,640,"Operational delivery",""
"Operational Delivery","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2013,220,"Operational delivery",""
"Operational Delivery","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2013,200,"Operational delivery",""
"Operational Delivery","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2013,50,"Operational delivery",""
"Operational Delivery","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2013,180,"Operational delivery",""
"Operational Delivery","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2013,330,"Operational delivery",""
"Operational Delivery","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2013,30,"Operational delivery",""
"Operational Delivery","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2013,70,"Operational delivery",""
"Operational Delivery","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,1040,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2013,40,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2013,150,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2013,90,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2013,1350,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2013,80,"Operational delivery",""
"Operational Delivery","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2013,50,"Operational delivery",""
"Operational Delivery","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Ofsted","Ofsted","DfE","Non-Whitehall","No",2013,380,"Operational delivery",""
"Operational Delivery","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2013,90,"Operational delivery",""
"Operational Delivery","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2013,640,"Operational delivery",""
"Operational Delivery","Department for Education","National College","DfE","Non-Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2013,240,"Operational delivery",""
"Operational Delivery","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","International Development ","Department for International Development","DfID","Whitehall","Yes",2013,510,"Operational delivery",""
"Operational Delivery","Transport","Department for Transport","DfT","Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2013,1900,"Operational delivery",""
"Operational Delivery","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2013,10,"Operational delivery",""
"Operational Delivery","Transport","Highways Agency","DfT","Non-Whitehall","No",2013,2570,"Operational delivery",""
"Operational Delivery","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2013,830,"Operational delivery",""
"Operational Delivery","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2013,140,"Operational delivery",""
"Operational Delivery","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2013,1890,"Operational delivery",""
"Operational Delivery","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2013,80,"Operational delivery",""
"Operational Delivery","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2013,70,"Operational delivery",""
"Operational Delivery","Health","Food Standards Agency","DH","Non-Whitehall","No",2013,650,"Operational delivery",""
"Operational Delivery","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2013,380,"Operational delivery",""
"Operational Delivery","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Health","Public Health England","DH","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2013,82310,"Operational delivery",""
"Operational Delivery","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2013,2430,"Operational delivery",""
"Operational Delivery","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2013,30,"Operational delivery",""
"Operational Delivery","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2013,500,"Operational delivery",""
"Operational Delivery","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2013,30,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2013,100,"Operational delivery",""
"Operational Delivery","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2013,35590,"Operational delivery",""
"Operational Delivery","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2013,60,"Operational delivery",""
"Operational Delivery","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2013,10,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2013,1930,"Operational delivery",""
"Operational Delivery","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2013,3250,"Operational delivery",""
"Operational Delivery","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2013,7410,"Operational delivery",""
"Operational Delivery","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2013,2570,"Operational delivery",""
"Operational Delivery","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2013,8370,"Operational delivery",""
"Operational Delivery","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2013,20,"Operational delivery",""
"Operational Delivery","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2013,200,"Operational delivery",""
"Operational Delivery","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2013,2380,"Operational delivery",""
"Operational Delivery","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2013,0,"Operational delivery",""
"Operational Delivery","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2013,770,"Operational delivery",""
"Operational Delivery","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2013,15660,"Operational delivery",""
"Operational Delivery","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Justice","Land Registry","MoJ","Non-Whitehall","No",2013,3370,"Operational delivery",""
"Operational Delivery","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2013,870,"Operational delivery",""
"Operational Delivery","Justice","National Archives","MoJ","Non-Whitehall","No",2013,340,"Operational delivery",""
"Operational Delivery","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2013,38190,"Operational delivery",""
"Operational Delivery","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2013,440,"Operational delivery",""
"Operational Delivery","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2013,30,"Operational delivery",""
"Operational Delivery","Justice","Wales Office","MoJ","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2013,NA,"Operational delivery",""
"Operational Delivery","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2013,40,"Operational delivery",""
"Operational Delivery","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2013,1010,"Operational delivery",""
"Operational Delivery","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2013,700,"Operational delivery",""
"Operational Delivery","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
"Operational Delivery","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Operational delivery",""
"Operational Delivery","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Operational delivery",""
